capacitity,red,green,blue,label
415.8,0.3203,0.329,0.3508,WATER
416.0,0.3203,0.329,0.3508,WATER
416.4,0.3203,0.329,0.3508,WATER
417.8,0.3203,0.329,0.3508,WATER
416.8,0.3203,0.329,0.3508,WATER
416.4,0.3217,0.3283,0.35,WATER
416.0,0.3217,0.3283,0.35,WATER
415.0,0.3203,0.329,0.3508,WATER
415.0,0.3203,0.329,0.3508,WATER
414.8,0.3217,0.3283,0.35,WATER
414.8,0.3217,0.3283,0.35,WATER
414.6,0.3225,0.329,0.3485,WATER
415.2,0.3225,0.329,0.3485,WATER
415.2,0.3239,0.3283,0.3478,WATER
415.2,0.3239,0.3283,0.3478,WATER
415.4,0.3239,0.3283,0.3478,WATER
415.0,0.3239,0.3283,0.3478,WATER
415.0,0.3239,0.3283,0.3478,WATER
415.0,0.3239,0.3283,0.3478,WATER
416.0,0.3232,0.3297,0.3471,WATER
416.0,0.3232,0.3297,0.3471,WATER
416.6,0.3239,0.3283,0.3478,WATER
416.6,0.3239,0.3283,0.3478,WATER
416.2,0.3224,0.329,0.3486,WATER
415.2,0.3224,0.329,0.3486,WATER
413.6,0.3209,0.3297,0.3494,WATER
411.8,0.3209,0.3297,0.3494,WATER
412.4,0.3209,0.3297,0.3494,WATER
412.4,0.3209,0.3297,0.3494,WATER
412.4,0.3202,0.329,0.3509,WATER
414.4,0.3202,0.329,0.3509,WATER
417.0,0.3194,0.3304,0.3502,WATER
411.2,0.3194,0.3304,0.3502,WATER
411.8,0.3194,0.3304,0.3502,WATER
412.2,0.3194,0.3304,0.3502,WATER
410.6,0.3202,0.3311,0.3487,WATER
409.0,0.3202,0.3311,0.3487,WATER
415.2,0.3202,0.3311,0.3487,WATER
413.0,0.3202,0.3311,0.3487,WATER
412.2,0.3217,0.3304,0.3479,WATER
412.4,0.3217,0.3304,0.3479,WATER
412.6,0.3209,0.3297,0.3494,WATER
411.2,0.3209,0.3297,0.3494,WATER
413.0,0.3209,0.3297,0.3494,WATER
413.0,0.3209,0.3297,0.3494,WATER
413.4,0.3202,0.329,0.3509,WATER
413.4,0.3202,0.329,0.3509,WATER
410.6,0.3202,0.329,0.3509,WATER
410.4,0.3202,0.329,0.3509,WATER
411.2,0.3187,0.3297,0.3516,WATER
409.4,0.3187,0.3297,0.3516,WATER
410.2,0.3202,0.329,0.3509,WATER
413.8,0.3202,0.329,0.3509,WATER
413.6,0.3209,0.3297,0.3494,WATER
413.4,0.3209,0.3297,0.3494,WATER
415.8,0.3209,0.3297,0.3494,WATER
416.0,0.3209,0.3297,0.3494,WATER
415.6,0.3224,0.329,0.3487,WATER
416.2,0.3224,0.329,0.3487,WATER
417.2,0.3224,0.329,0.3487,WATER
417.8,0.3224,0.329,0.3487,WATER
417.2,0.3224,0.329,0.3487,WATER
417.0,0.3224,0.329,0.3487,WATER
416.4,0.3216,0.3282,0.3501,WATER
415.8,0.3216,0.3282,0.3501,WATER
416.4,0.3216,0.3282,0.3501,WATER
417.0,0.3216,0.3282,0.3501,WATER
418.0,0.3202,0.329,0.3509,WATER
418.6,0.3202,0.329,0.3509,WATER
417.0,0.3209,0.3297,0.3494,WATER
416.0,0.3209,0.3297,0.3494,WATER
420.6,0.3195,0.3304,0.3501,WATER
419.6,0.3195,0.3304,0.3501,WATER
419.6,0.3209,0.3297,0.3494,WATER
420.6,0.3209,0.3297,0.3494,WATER
420.0,0.3209,0.3297,0.3494,WATER
414.4,0.3209,0.3297,0.3494,WATER
415.0,0.3224,0.329,0.3486,WATER
415.0,0.3224,0.329,0.3486,WATER
415.0,0.3216,0.3282,0.3501,WATER
415.4,0.3216,0.3282,0.3501,WATER
416.2,0.3216,0.3282,0.3501,WATER
416.4,0.3216,0.3282,0.3501,WATER
416.4,0.3216,0.3282,0.3501,WATER
416.4,0.3216,0.3282,0.3501,WATER
416.0,0.3224,0.329,0.3487,WATER
418.0,0.3224,0.329,0.3487,WATER
417.8,0.3217,0.3304,0.3479,WATER
417.6,0.3217,0.3304,0.3479,WATER
417.6,0.3217,0.3304,0.3479,WATER
416.8,0.3217,0.3304,0.3479,WATER
414.8,0.3217,0.3304,0.3479,WATER
414.6,0.3217,0.3304,0.3479,WATER
